Event Data Level Sequence In Catalog,Unq Users level start,Event Data Unq Users Level Started (Before X Days),Unq Users level complete,Event Data Unq Users Level Completed (Before X Days),Unq Users level fail,Event Data # Level Start Events,Event Data # Level Fail Events,Event Data # Level Complete Events,# Level Steps,Avg Stacks Placed to Complete,Unq Users Level complete (1st attempt),Unq Users Level complete (2nd attempt),Unq Users Level complete (3+ attempt),Unq Users level step,Avg Stacks Placed to Fail,Avg goal complete % - Lvl Fail,# Rv Slot Unlock,# powerup used,unq users used rv slot,Coin Sink,# Level Pre Fail Events,Payers,Total Customer,Median Coin Balance,Coin Balance Below 20,Booster Balance 0,Total Level Revenue,Total Level RV Revenue,Total Level Ad Revenue,IAP Revenue,Funnel %,Level Churn %,Level Fail %,Fail / User,Absolute Level Fail % (Unique),Retry Ratio,Lvl complete % (1st Attempt),Lvl complete % (2nd Attempt),Lvl complete % (3+ Attempt),Unique Level Fail %,Avg Play on used,Avg Powerup Used,Rv Slot % (unique),Level Pre Fail %,Total Revenue / User,Total RV Revenue / User,Total Ad Revenue / User,IAP Revenue / User,ARPPU
868,"45,207","41,051","44,223","40,158","12,255","77,583","26,282","46,510","317,184",129.1,"31,047","6,631","6,991","39,242",36.1,23.6,"31,597","89,642","15,765","510,540","32,972",51,"4,589",53,"9,111","22,495","$2,370.70",$723.97,"$1,270.19",$477.45,5.2%,2.2%,33.9%,0.6,86.8%,1.8,68.7%,14.7%,15.5%,27.1%,7.02,1.16,34.9%,42.5%,$0.05,$0.02,$0.03,$0.01,$0.52
869,"45,546","41,489","43,950","39,955","17,793","155,826","96,847","46,200","623,987",149.3,"25,913","5,625","12,940","41,904",44.9,18.9,"37,526","157,686","16,719","976,125","119,999",185,"4,643",44,"10,222","22,997","$3,164.63",$902.31,"$1,920.91","$1,539.90",5.1%,3.7%,62.2%,2.1,92.0%,3.5,56.9%,12.4%,28.4%,39.1%,13.70,1.01,36.7%,77.0%,$0.07,$0.02,$0.04,$0.03,$0.68
870,"45,007","40,984","43,960","39,977","13,875","94,388","41,831","46,124","361,325",90.6,"29,361","5,930","9,081","39,333",32.6,5.7,"37,985","93,744","15,140","472,625","50,380",64,"4,607",50,"9,436","22,646","$2,619.59",$770.15,"$1,448.43",$467.29,5.1%,2.5%,44.3%,0.9,87.4%,2.1,65.2%,13.2%,20.2%,30.8%,8.03,0.99,33.6%,53.4%,$0.06,$0.02,$0.03,$0.01,$0.57
871,"44,721","40,665","43,942","39,979","7,771","62,267","13,143","46,132","230,909",116.9,"35,190","5,424","3,615","37,038",46.8,44.4,"18,007","59,701","11,902","375,015","17,519",34,"4,535",54,"8,030","21,698","$1,479.59",$547.04,"$1,016.30",$361.63,5.1%,1.7%,21.1%,0.3,82.8%,1.4,78.7%,12.1%,8.1%,17.4%,5.16,0.96,26.6%,28.1%,$0.03,$0.01,$0.02,$0.01,$0.33
872,"45,433","41,331","42,690","38,960","18,386","214,117","150,904","44,874","817,438",104.6,"25,246","5,671","12,297","41,376",41.3,28.4,"54,598","199,039","20,026","1,194,430","181,318",278,"4,652",45,"10,339","22,732","$3,279.53",$988.88,"$2,214.00","$2,225.62",5.0%,5.7%,70.5%,3.3,91.1%,5.0,55.6%,12.5%,27.1%,40.5%,17.99,0.93,44.1%,84.7%,$0.07,$0.02,$0.05,$0.05,$0.70
873,"43,936","40,178","42,787","39,047","14,288","96,689","44,702","44,962","373,083",105.9,"27,808","6,166","9,313","38,972",38.1,25.4,"28,690","104,971","15,593","655,120","55,979",91,"4,478",46,"9,809","22,614","$3,167.37",$847.48,"$1,464.98",$625.04,5.0%,2.8%,46.2%,1.0,88.7%,2.3,63.3%,14.0%,21.2%,32.5%,8.49,1.09,35.5%,57.9%,$0.07,$0.02,$0.03,$0.01,$0.71
874,"44,072","40,269","42,546","38,836","17,138","128,731","73,626","44,761","558,859",89.8,"24,954","6,041","12,083","39,918",48.6,42.6,"50,244","163,316","19,880","865,515","93,042",122,"4,493",43,"10,525","23,144","$2,564.32",$895.50,"$1,733.65",$955.57,5.0%,3.6%,57.2%,1.7,90.6%,3.0,56.6%,13.7%,27.4%,38.9%,12.68,1.27,45.1%,72.3%,$0.06,$0.02,$0.04,$0.02,$0.57
875,"43,662","39,887","42,793","39,094","9,995","77,549","27,596","45,022","309,049",103.8,"31,909","5,260","5,994","36,937",53.6,47.6,"20,529","79,744","12,365","510,035","36,707",59,"4,490",49,"9,149","22,316","$2,204.85",$761.78,"$1,290.20",$523.37,5.0%,2.0%,35.6%,0.6,84.6%,1.8,73.1%,12.0%,13.7%,22.9%,7.08,1.03,28.3%,47.3%,$0.05,$0.02,$0.03,$0.01,$0.49
876,"43,751","39,929","42,719","38,953","14,935","91,507","40,961","44,993","353,226",95.9,"27,303","6,535","9,414","38,741",31.4,25.6,"27,160","99,905","15,185","633,080","51,902",52,"4,468",49,"8,739","22,009","$1,738.69",$579.65,"$1,177.47",$296.45,5.0%,2.4%,44.8%,0.9,88.5%,2.1,62.4%,14.9%,21.5%,34.1%,8.07,1.09,34.7%,56.7%,$0.04,$0.01,$0.03,$0.01,$0.39
877,"44,026","40,245","42,787","39,031","16,094","115,551","61,883","45,026","460,575",99.6,"26,255","5,940","11,122","39,520",39.8,24.1,"30,917","119,187","14,727","700,435","77,629",107,"4,574",48,"9,461","22,426","$2,078.21",$722.02,"$1,498.21",$696.78,5.0%,3.0%,53.6%,1.4,89.8%,2.7,59.6%,13.5%,25.3%,36.6%,10.46,1.03,33.5%,67.2%,$0.05,$0.02,$0.03,$0.02,$0.45
878,"44,073","40,272","42,595","38,896","16,084","113,983","59,763","44,737","506,105",148.0,"25,890","5,851","11,339","40,483",53.8,37.0,"40,537","143,277","19,349","800,505","75,578",113,"4,580",44,"9,828","22,573","$2,400.88",$811.69,"$1,585.16",$864.62,5.0%,3.4%,52.4%,1.4,91.9%,2.7,58.7%,13.3%,25.7%,36.5%,11.48,1.26,43.9%,66.3%,$0.05,$0.02,$0.04,$0.02,$0.52
879,"43,740","39,990","42,612","38,898","14,316","93,034","41,031","44,739","385,667",100.9,"27,413","6,367","9,331","38,782",56.8,54.2,"26,773","101,833","14,895","576,110","54,317",82,"4,546",47,"9,685","22,410","$2,444.30",$813.88,"$1,511.68",$555.16,5.0%,2.7%,44.1%,0.9,88.7%,2.2,62.7%,14.6%,21.3%,32.7%,8.82,1.09,34.1%,58.4%,$0.06,$0.02,$0.03,$0.01,$0.54
880,"44,184","40,436","42,864","39,148","16,065","117,669","62,850","45,020","489,360",89.0,"26,150","5,775","11,465","39,866",48.9,50.7,"48,503","146,914","19,212","767,050","78,279",122,"4,529",44,"10,178","22,804","$2,363.57",$800.77,"$1,602.71",$899.58,5.0%,3.2%,53.4%,1.4,90.2%,2.7,59.2%,13.1%,25.9%,36.4%,11.08,1.25,43.5%,66.5%,$0.05,$0.02,$0.04,$0.02,$0.52
881,"43,806","39,948","42,948","39,166","11,055","72,818","23,539","45,274","263,027",74.8,"31,032","6,338","6,063","36,891",33.1,19.0,"18,580","66,051","11,559","416,860","30,646",53,"4,501",51,"8,945","22,109","$2,016.16",$689.66,"$1,170.54",$392.43,5.0%,2.0%,32.3%,0.5,84.2%,1.7,70.8%,14.5%,13.8%,25.2%,6.00,0.91,26.4%,42.1%,$0.05,$0.02,$0.03,$0.01,$0.45
882,"43,896","40,149","42,195","38,605","14,653","139,677","83,858","44,479","547,205",89.0,"27,487","5,660","9,567","38,369",41.8,38.7,"51,717","144,025","15,419","731,365","102,841",124,"4,574",47,"9,235","22,295","$2,394.97",$759.75,"$1,549.12",$881.65,4.9%,3.8%,60.0%,1.9,87.4%,3.3,62.6%,12.9%,21.8%,33.4%,12.47,1.03,35.1%,73.6%,$0.05,$0.02,$0.04,$0.02,$0.52
883,"43,531","39,809","42,433","38,777","13,737","98,451","47,064","44,677","362,729",78.3,"28,216","5,399","9,274","38,138",45.2,56.0,"32,477","101,699","17,873","603,850","58,704",70,"4,497",49,"9,112","22,008","$2,177.00",$766.51,"$1,374.23",$564.21,4.9%,2.6%,47.8%,1.1,87.6%,2.3,64.8%,12.4%,21.3%,31.6%,8.33,1.03,41.1%,59.6%,$0.05,$0.02,$0.03,$0.01,$0.48
884,"43,497","39,774","42,546","38,853","11,321","77,276","27,649","44,780","307,078",102.0,"30,302","5,983","6,704","37,430",49.1,51.5,"25,016","87,613","15,106","532,440","36,234",66,"4,438",50,"8,754","21,824","$1,668.68",$604.40,"$1,094.58",$422.28,5.0%,2.3%,35.8%,0.6,86.1%,1.8,69.7%,13.8%,15.4%,26.0%,7.06,1.13,34.7%,46.9%,$0.04,$0.01,$0.03,$0.01,$0.38
885,"43,241","39,574","42,254","38,646","11,449","88,998","38,957","44,430","315,592",59.4,"30,355","5,262","7,057","35,947",37.5,45.6,"25,037","91,407","13,225","592,750","49,223",82,"4,519",51,"8,476","21,413","$1,754.82",$578.55,"$1,153.70",$566.12,4.9%,2.3%,43.8%,0.9,83.1%,2.1,70.2%,12.2%,16.3%,26.5%,7.30,1.03,30.6%,55.3%,$0.04,$0.01,$0.03,$0.01,$0.39
886,"43,413","39,771","42,020","38,482","15,904","118,006","64,401","44,319","517,722",163.6,"25,761","5,926","10,917","39,615",47.3,24.8,"28,607","138,284","16,390","789,090","82,167",125,"4,485",48,"9,352","22,038","$2,272.78",$720.15,"$1,385.02",$987.58,4.9%,3.2%,54.6%,1.5,91.3%,2.8,59.3%,13.7%,25.1%,36.6%,11.93,1.17,37.8%,69.6%,$0.05,$0.02,$0.03,$0.02,$0.51
887,"43,044","39,429","42,245","38,627","10,672","74,128","25,103","44,520","271,351",84.6,"30,624","5,809","6,196","36,615",42.3,41.8,"20,419","68,626","12,876","429,970","32,372",48,"4,428",54,"8,314","21,106","$2,256.29",$640.34,"$1,210.43",$266.50,4.9%,2.0%,33.9%,0.6,85.1%,1.8,71.1%,13.5%,14.4%,24.8%,6.30,0.93,29.9%,43.7%,$0.05,$0.01,$0.03,$0.01,$0.51
888,"43,399","39,720","41,905","38,321","17,358","124,676","70,908","43,984","532,444",144.0,"24,211","5,930","12,283","40,198",42.0,19.8,"42,286","148,519","19,879","825,090","88,836",129,"4,511",46,"9,232","21,668","$2,070.84",$727.85,"$1,464.76","$1,135.59",4.9%,3.5%,56.9%,1.6,92.6%,3.0,55.8%,13.7%,28.3%,40.0%,12.27,1.19,45.8%,71.3%,$0.05,$0.02,$0.03,$0.03,$0.46
889,"43,358","39,659","41,999","38,438","15,820","111,154","57,854","44,119","456,405",129.2,"25,511","5,903","11,095","39,546",43.8,22.6,"30,832","120,141","16,880","745,820","73,339",104,"4,452",45,"9,660","22,026","$2,607.07",$818.38,"$1,572.39",$737.88,4.9%,3.1%,52.0%,1.3,91.2%,2.6,58.8%,13.6%,25.6%,36.5%,10.53,1.08,38.9%,66.0%,$0.06,$0.02,$0.04,$0.02,$0.59
890,"43,385","39,738","42,182","38,561","14,787","106,785","53,597","44,414","465,303",152.5,"26,607","6,050","10,041","39,367",55.4,44.1,"29,823","117,374","15,957","677,070","68,663",100,"4,439",46,"9,642","22,212","$2,352.20",$774.88,"$1,517.43",$818.87,4.9%,3.0%,50.2%,1.2,90.7%,2.5,61.3%,13.9%,23.1%,34.1%,10.72,1.10,36.8%,64.3%,$0.05,$0.02,$0.03,$0.02,$0.53
891,"43,101","39,359","42,320","38,610","11,078","71,865","23,882","44,484","241,331",65.0,"30,450","6,323","5,954","35,892",28.2,26.5,"19,019","62,209","11,542","404,160","30,539",51,"4,450",52,"8,448","21,416","$1,706.83",$601.05,"$1,130.74",$322.46,4.9%,1.9%,33.2%,0.6,83.3%,1.7,70.6%,14.7%,13.8%,25.7%,5.60,0.87,26.8%,42.5%,$0.04,$0.01,$0.03,$0.01,$0.38
892,"42,900","39,230","42,158","38,534","9,646","66,810","19,008","44,400","234,028",79.1,"31,674","5,770","5,084","35,674",39.2,45.4,"20,529","64,611","12,661","411,530","24,544",33,"4,425",54,"7,713","20,746","$1,324.29",$427.15,$860.99,$227.66,4.9%,1.8%,28.5%,0.4,83.2%,1.6,73.8%,13.4%,11.9%,22.5%,5.46,0.97,29.5%,36.7%,$0.03,$0.01,$0.02,$0.01,$0.30
893,"43,114","39,435","42,370","38,740","9,836","66,808","18,607","44,646","239,821",92.1,"31,614","6,100","5,051","36,312",42.7,28.5,"16,621","57,726","10,952","377,630","24,466",39,"4,427",58,"7,249","20,235","$1,315.36",$426.70,$867.91,$297.59,4.9%,1.8%,27.9%,0.4,84.2%,1.6,73.3%,14.1%,11.7%,22.8%,5.56,0.86,25.4%,36.6%,$0.03,$0.01,$0.02,$0.01,$0.30
894,"43,565","39,954","41,888","38,345","18,218","143,860","88,149","44,143","577,291",94.4,"23,731","5,907","12,861","39,604",45.6,20.1,"35,341","150,240","15,043","882,145","111,865",129,"4,523",48,"9,170","21,472","$2,441.11",$719.42,"$1,602.13","$1,022.55",4.9%,4.0%,61.3%,2.0,90.9%,3.4,54.5%,13.6%,29.5%,41.8%,13.25,1.04,34.5%,77.8%,$0.06,$0.02,$0.04,$0.02,$0.54
895,"38,292","34,531","37,421","33,752","9,462","76,337","32,188","38,569","323,424",127.7,"27,072","4,744","5,901","32,811",60.7,70.7,"24,929","86,820","12,966","481,170","43,073",55,"3,862",50,"8,051","19,258","$2,043.47",$687.08,"$1,206.56",$373.42,4.4%,2.3%,42.2%,0.8,85.7%,2.0,70.7%,12.4%,15.4%,24.7%,8.45,1.14,33.9%,56.4%,$0.05,$0.02,$0.03,$0.01,$0.53
896,"42,663","39,073","41,748","38,202","11,305","77,470","28,284","43,934","328,450",132.3,"29,594","5,673","6,886","37,425",52.5,48.0,"27,086","92,216","15,728","557,085","36,947",60,"4,373",53,"8,082","20,629","$1,618.16",$555.00,"$1,097.83",$482.35,4.9%,2.2%,36.5%,0.7,87.7%,1.9,69.4%,13.3%,16.1%,26.5%,7.70,1.19,36.9%,47.7%,$0.04,$0.01,$0.03,$0.01,$0.37
897,"43,206","39,551","42,029","38,400","14,833","113,324","60,602","44,267","406,692",99.6,"26,700","5,516","10,301","38,186",34.3,26.0,"22,890","92,825","12,945","583,490","74,700",82,"4,449",54,"8,722","21,165","$2,031.44",$659.87,"$1,378.39",$770.01,4.9%,2.9%,53.5%,1.4,88.4%,2.7,61.8%,12.8%,23.8%,34.3%,9.41,0.82,30.0%,65.9%,$0.05,$0.02,$0.03,$0.02,$0.46
898,"43,204","39,465","42,260","38,554","13,027","88,154","38,322","44,393","313,918",81.1,"28,606","5,686","8,398","37,574",30.3,23.0,"31,413","88,389","18,133","516,285","47,227",65,"4,457",54,"8,309","20,764","$1,839.69",$589.91,"$1,138.62",$500.22,4.9%,2.3%,43.5%,0.9,87.0%,2.1,66.2%,13.2%,19.4%,30.2%,7.27,1.00,42.0%,53.6%,$0.04,$0.01,$0.03,$0.01,$0.41
899,"43,312","39,629","42,349","38,701","11,659","81,050","31,078","44,723","306,509",104.9,"29,953","5,452","7,378","37,433",43.0,35.9,"25,438","87,790","15,163","573,710","39,564",64,"4,435",53,"8,215","20,694","$1,481.11",$549.77,"$1,057.87",$509.28,4.9%,2.3%,38.3%,0.7,86.4%,1.9,69.2%,12.6%,17.0%,26.9%,7.08,1.08,35.0%,48.8%,$0.03,$0.01,$0.02,$0.01,$0.33
900,"43,311","39,588","42,235","38,548","12,903","93,333","42,238","44,499","368,717",110.5,"28,743","5,337","8,620","38,135",45.8,39.9,"30,044","106,230","15,750","658,500","53,005",83,"4,498",51,"8,742","20,964","$1,942.59",$642.40,"$1,252.48",$655.10,4.9%,2.6%,45.3%,1.0,88.0%,2.2,66.4%,12.3%,19.9%,29.8%,8.51,1.14,36.4%,56.8%,$0.04,$0.01,$0.03,$0.02,$0.43
901,"43,381","39,632","42,023","38,375","13,320","106,711","53,866","44,263","456,776",110.0,"28,207","5,545","8,749","38,228",54.2,48.3,"35,819","128,188","17,617","734,995","69,122",89,"4,491",49,"9,267","21,584","$2,278.71",$797.52,"$1,512.90",$582.02,4.9%,3.2%,50.5%,1.2,88.1%,2.5,65.0%,12.8%,20.2%,30.7%,10.53,1.20,40.6%,64.8%,$0.05,$0.02,$0.03,$0.01,$0.51
902,"43,034","39,305","41,393","37,797","15,878","146,004","90,183","43,657","577,538",95.6,"25,437","5,799","10,679","38,349",51.6,30.0,"35,029","142,291","14,616","818,780","112,302",159,"4,456",47,"9,698","21,697","$2,857.42",$912.05,"$1,880.78","$1,353.16",4.8%,3.8%,61.8%,2.1,89.1%,3.5,59.1%,13.5%,24.8%,36.9%,13.42,0.97,34.0%,76.9%,$0.07,$0.02,$0.04,$0.03,$0.64
903,"36,736","34,267","36,063","33,609","8,496","64,835","23,841","37,036","228,305",81.4,"26,970","3,760","5,575","29,695",41.8,51.8,"13,569","54,760","7,119","348,385","30,347",51,"3,705",50,"7,659","18,591","$1,747.05",$567.56,$991.36,$472.43,4.2%,1.9%,36.8%,0.6,80.8%,1.8,73.4%,10.2%,15.2%,23.1%,6.21,0.84,19.4%,46.8%,$0.05,$0.02,$0.03,$0.01,$0.47
904,"36,998","34,509","36,253","33,777","9,414","61,622","20,860","37,247","213,413",74.7,"25,994","5,158","5,297","30,919",41.6,43.6,"19,384","59,003","11,721","375,050","26,602",37,"3,778",53,"6,421","17,773","$1,187.33",$332.05,$748.87,$236.60,4.2%,2.1%,33.9%,0.6,83.6%,1.7,70.3%,13.9%,14.3%,25.4%,5.77,0.96,31.7%,43.2%,$0.03,$0.01,$0.02,$0.01,$0.31
905,"42,649","38,963","41,876","38,211","9,763","68,617","20,658","44,108","261,583",96.7,"31,312","5,523","5,445","35,984",45.1,42.5,"22,635","75,147","14,130","486,685","27,178",45,"4,441",56,"7,130","20,282","$1,316.09",$458.61,$906.71,$334.53,4.9%,1.9%,30.1%,0.5,84.4%,1.6,73.4%,12.9%,12.8%,22.9%,6.13,1.10,33.1%,39.6%,$0.03,$0.01,$0.02,$0.01,$0.30
906,"42,413","38,745","41,412","37,845","12,135","80,975","32,169","43,631","306,747",100.6,"28,648","6,068","7,173","36,438",34.8,24.8,"24,469","85,918","14,410","550,130","42,444",60,"4,317",56,"7,578","20,175","$1,457.12",$524.16,"$1,019.75",$401.34,4.8%,2.3%,39.7%,0.8,85.9%,2.0,67.5%,14.3%,16.9%,28.6%,7.23,1.06,34.0%,52.4%,$0.03,$0.01,$0.02,$0.01,$0.34
907,"43,056","39,400","41,928","38,298","13,788","115,634","62,590","44,193","439,117",133.7,"27,635","5,162","9,606","37,906",40.6,35.3,"36,856","120,166","17,806","688,015","76,155",83,"4,479",52,"8,816","20,948","$1,851.73",$699.93,"$1,373.57",$653.02,4.9%,2.8%,54.1%,1.5,88.0%,2.8,64.2%,12.0%,22.3%,32.0%,10.20,1.04,41.4%,65.9%,$0.04,$0.02,$0.03,$0.02,$0.41
908,"43,230","39,526","42,056","38,386","13,039","101,971","49,817","44,340","397,102",109.3,"28,480","5,114","8,875","38,035",43.9,49.0,"29,249","102,327","15,268","594,250","61,049",102,"4,537",53,"8,934","21,093","$2,100.75",$735.38,"$1,416.89",$651.93,4.9%,2.9%,48.9%,1.2,88.0%,2.4,65.9%,11.8%,20.5%,30.2%,9.19,1.00,35.3%,59.9%,$0.05,$0.02,$0.03,$0.02,$0.46
909,"43,103","39,317","42,215","38,492","12,102","75,726","26,898","44,529","266,703",71.4,"29,414","6,404","6,847","36,641",36.3,38.3,"17,453","70,296","11,004","489,320","35,244",54,"4,427",56,"8,141","20,641","$1,848.05",$560.29,"$1,074.20",$379.44,4.9%,2.1%,35.5%,0.6,85.0%,1.8,68.2%,14.9%,15.9%,28.1%,6.19,0.93,25.5%,46.5%,$0.04,$0.01,$0.02,$0.01,$0.42
910,"44,029","40,237","42,190","38,417","19,114","176,291","117,216","44,440","641,260",115.9,"23,104","5,081","14,552","40,842",25.5,21.9,"52,106","164,812","18,103","917,270","141,165",155,"4,562",47,"9,869","21,982","$2,333.34",$835.01,"$1,705.35","$1,153.27",4.9%,4.5%,66.5%,2.7,92.8%,4.2,52.5%,11.5%,33.1%,43.4%,14.56,0.93,41.1%,80.1%,$0.05,$0.02,$0.04,$0.03,$0.51
911,"37,944","34,055","37,364","33,555","6,069","57,735","16,782","38,362","183,908",62.6,"30,699","2,912","3,944","29,101",36.2,31.1,"11,894","45,024","7,360","300,410","21,584",45,"3,906",53,"7,741","18,739","$2,071.58",$618.31,"$1,079.08",$299.51,4.4%,1.5%,29.1%,0.4,76.7%,1.5,80.9%,7.7%,10.4%,16.0%,4.85,0.78,19.4%,37.4%,$0.05,$0.02,$0.03,$0.01,$0.53
912,"37,710","33,925","36,873","33,169","7,730","73,167","30,869","37,825","263,192",87.9,"28,881","2,904","5,315","30,536",29.2,16.9,"19,230","65,242","10,102","391,830","38,784",57,"3,897",54,"6,379","17,820","$1,233.14",$363.56,$799.73,$543.39,4.3%,2.2%,42.2%,0.8,81.0%,2.0,76.6%,7.7%,14.1%,20.5%,6.98,0.89,26.8%,53.0%,$0.03,$0.01,$0.02,$0.01,$0.32
913,"43,750","39,934","42,633","38,854","13,782","92,800","42,168","44,940","337,576",71.1,"28,375","5,736","9,012","38,079",44.3,51.9,"28,895","101,916","16,659","668,160","53,560",73,"4,508",53,"7,499","20,432","$1,686.94",$521.24,"$1,142.73",$464.19,5.0%,2.7%,45.4%,1.0,87.0%,2.2,64.9%,13.1%,20.6%,31.5%,7.72,1.10,38.1%,57.7%,$0.04,$0.01,$0.03,$0.01,$0.37
914,"43,683","39,849","42,633","38,880","12,482","83,232","32,447","44,895","340,053",115.1,"29,218","6,162","7,713","38,270",49.7,46.7,"25,657","95,945","15,148","612,270","42,461",56,"4,532",53,"8,316","21,251","$1,695.21",$618.63,"$1,141.06",$490.39,5.0%,2.4%,39.0%,0.7,87.6%,2.0,66.9%,14.1%,17.7%,28.6%,7.78,1.15,34.7%,51.0%,$0.04,$0.01,$0.03,$0.01,$0.37
915,"43,433","39,670","42,118","38,433","13,548","123,196","69,612","44,359","435,038",71.1,"28,252","5,162","9,226","37,582",35.1,47.0,"29,026","113,737","14,630","698,925","86,150",91,"4,421",52,"9,045","21,508","$2,211.26",$685.33,"$1,391.39",$721.93,4.9%,3.1%,56.5%,1.6,86.5%,2.9,65.0%,11.9%,21.2%,31.2%,10.02,0.92,33.7%,69.9%,$0.05,$0.02,$0.03,$0.02,$0.50
916,"43,272","39,535","42,103","38,484","11,046","83,254","32,533","44,409","367,618",143.8,"30,157","5,597","6,820","37,858",66.4,51.1,"29,271","105,928","16,292","629,775","43,136",71,"4,517",52,"8,730","21,195","$1,984.69",$614.32,"$1,161.70",$548.27,4.9%,2.7%,39.1%,0.8,87.5%,2.0,69.7%,12.9%,15.8%,25.5%,8.50,1.27,37.7%,51.8%,$0.05,$0.01,$0.03,$0.01,$0.44
917,"37,760","35,234","36,813","34,311","10,654","88,433","43,664","37,828","341,420",138.0,"25,341","4,128","7,574","33,062",45.8,24.5,"27,585","88,404","14,030","535,980","53,100",64,"3,916",49,"7,800","18,381","$1,779.05",$637.27,"$1,262.76",$420.32,4.3%,2.6%,49.4%,1.2,87.6%,2.4,67.1%,10.9%,20.1%,28.2%,9.04,1.00,37.2%,60.0%,$0.05,$0.02,$0.03,$0.01,$0.45
918,"43,232","39,594","42,355","38,816","8,868","66,885","18,223","44,697","264,479",117.7,"32,446","5,667","4,630","36,439",62.3,48.3,"13,264","63,977","8,269","462,095","25,480",54,"4,501",57,"7,815","20,558","$1,615.89",$542.55,"$1,072.66",$407.36,4.9%,2.0%,27.2%,0.4,84.3%,1.6,75.1%,13.1%,10.7%,20.5%,6.12,0.96,19.1%,38.1%,$0.04,$0.01,$0.02,$0.01,$0.36
919,"43,056","39,403","42,082","38,493","10,784","78,229","28,092","44,446","325,172",121.9,"30,256","5,435","6,820","37,413",67.5,67.1,"25,755","90,714","15,677","575,080","36,676",41,"4,504",55,"7,676","20,215","$1,557.73",$431.02,"$1,014.62",$207.54,4.9%,2.3%,35.9%,0.7,86.9%,1.9,70.3%,12.6%,15.8%,25.0%,7.55,1.16,36.4%,46.9%,$0.04,$0.01,$0.02,$0.00,$0.35
920,"43,691","40,014","42,205","38,607","17,999","128,881","74,481","44,482","494,363",109.2,"23,849","5,840","13,065","40,290",33.9,27.1,"31,240","131,922","16,809","854,385","92,974",124,"4,592",48,"9,349","21,416","$2,100.17",$765.02,"$1,558.03",$844.64,4.9%,3.5%,57.8%,1.7,92.2%,3.1,54.6%,13.4%,29.9%,41.2%,11.31,1.02,38.5%,72.1%,$0.05,$0.02,$0.04,$0.02,$0.46
921,"43,184","39,528","42,229","38,584","10,711","76,573","26,499","44,627","309,080",121.3,"30,506","5,685","6,506","37,269",65.0,52.5,"23,609","87,549","14,814","565,580","35,055",63,"4,566",52,"8,776","21,252","$1,963.97",$654.33,"$1,223.21",$405.31,4.9%,2.4%,34.6%,0.6,86.3%,1.8,70.6%,13.2%,15.1%,24.8%,7.16,1.14,34.3%,45.8%,$0.05,$0.02,$0.03,$0.01,$0.43
922,"43,039","39,373","41,752","38,208","14,799","105,882","53,963","44,003","408,192",81.0,"26,381","5,921","9,945","38,148",44.0,38.4,"31,975","108,838","16,741","664,450","68,182",86,"4,487",51,"8,733","21,083","$2,132.63",$643.44,"$1,355.69",$629.02,4.9%,3.0%,51.0%,1.3,88.6%,2.5,61.3%,13.8%,23.1%,34.4%,9.48,1.03,38.9%,64.4%,$0.05,$0.01,$0.03,$0.01,$0.48
923,"44,079","40,446","42,430","38,797","16,598","157,503","99,079","44,780","596,062",110.2,"25,662","5,117","12,148","40,001",47.1,49.0,"33,206","136,639","17,866","830,240","121,563",147,"4,638",46,"10,232","22,375","$3,081.91",$966.37,"$2,057.49","$1,016.23",4.9%,4.1%,62.9%,2.2,90.7%,3.7,58.2%,11.6%,27.6%,37.7%,13.52,0.87,40.5%,77.2%,$0.07,$0.02,$0.05,$0.02,$0.66
924,"43,840","40,157","42,192","38,539","17,711","133,801","77,424","44,452","575,588",115.3,"24,067","5,848","12,832","40,431",56.6,39.6,"44,706","153,822","20,449","858,260","98,782",161,"4,636",43,"10,635","22,823","$3,036.13","$1,039.38","$1,976.94",$975.10,4.9%,4.0%,57.9%,1.8,92.2%,3.2,54.9%,13.3%,29.3%,40.4%,13.13,1.15,46.6%,73.8%,$0.07,$0.02,$0.05,$0.02,$0.65
925,"43,334","39,599","42,439","38,768","11,182","75,306","25,442","44,754","313,545",124.8,"30,174","6,006","6,683","37,811",52.8,48.4,"25,038","85,792","15,021","521,935","33,457",62,"4,540",47,"9,458","22,138","$2,087.74",$767.10,"$1,323.27",$434.34,4.9%,2.1%,33.8%,0.6,87.3%,1.8,69.6%,13.9%,15.4%,25.8%,7.24,1.14,34.7%,44.4%,$0.05,$0.02,$0.03,$0.01,$0.46
926,"43,454","39,732","42,398","38,761","13,525","93,771","42,175","44,702","397,869",159.0,"28,090","5,780","9,004","39,360",36.8,23.7,"27,636","102,255","15,700","621,490","53,049",76,"4,594",48,"8,926","21,708","$1,913.52",$624.94,"$1,269.49",$513.18,4.9%,2.4%,45.0%,1.0,90.6%,2.2,64.6%,13.3%,20.7%,31.1%,9.16,1.09,36.1%,56.6%,$0.04,$0.01,$0.03,$0.01,$0.42
927,"44,223","40,494","42,608","38,924","17,905","177,735","118,740","44,841","658,402",115.4,"24,531","5,128","13,424","40,596",41.6,16.5,"40,339","156,270","17,007","931,170","141,564",219,"4,632",42,"10,567","22,948","$3,274.03","$1,032.05","$2,325.63","$1,594.50",5.0%,3.9%,66.8%,2.7,91.8%,4.2,55.5%,11.6%,30.4%,40.5%,14.89,0.88,38.5%,79.6%,$0.07,$0.02,$0.05,$0.04,$0.71
